"covariateId","covariateName","analysisId","conceptId","covariateValue"
30753151,"Condition occurrence record observed during 365d on or prior to cohort index within condition group:  30753-Esophagitis",101,30753,0
30753152,"Condition occurrence record observed during 30d on or prior to cohort index within condition group:  30753-Esophagitis",102,30753,0
30753153,"Condition occurrence record of primary inpatient diagnosis observed during 180d on or prior to cohort index within condition group:  30753-Esophagitis",103,30753,0
30753201,"Condition era record observed during anytime on or prior to cohort index:    30753-Esophagitis",201,30753,0
30753202,"Condition era record observed concurrent (overlapping) with cohort index:    30753-Esophagitis",202,30753,0
30753251,"Condition era record observed during anytime on or prior to cohort index within condition group:  30753-Esophagitis",201,30753,0
30753252,"Condition era record observed concurrent (overlapping) with cohort index within condition group:  30753-Esophagitis",202,30753,0
30968251,"Condition era record observed during anytime on or prior to cohort index within condition group:  30968-Diabetes insipidus",201,30968,0
31057201,"Condition era record observed during anytime on or prior to cohort index:    31057-Disorder of pharynx",201,31057,0
31057251,"Condition era record observed during anytime on or prior to cohort index within condition group:  31057-Disorder of pharynx",201,31057,0
31317101,"Condition occurrence record observed during 365d on or prior to cohort index:  31317-Dysphagia",101,31317,0
31317102,"Condition occurrence record observed during 30d on or prior to cohort index:  31317-Dysphagia",102,31317,0
31317103,"Condition occurrence record of primary inpatient diagnosis observed during 180d on or prior to cohort index:  31317-Dysphagia",103,31317,0
31317151,"Condition occurrence record observed during 365d on or prior to cohort index within condition group:  31317-Dysphagia",101,31317,0
31317152,"Condition occurrence record observed during 30d on or prior to cohort index within condition group:  31317-Dysphagia",102,31317,0
31317153,"Condition occurrence record of primary inpatient diagnosis observed during 180d on or prior to cohort index within condition group:  31317-Dysphagia",103,31317,0
31317201,"Condition era record observed during anytime on or prior to cohort index:    31317-Dysphagia",201,31317,0
31317202,"Condition era record observed concurrent (overlapping) with cohort index:    31317-Dysphagia",202,31317,0
31317251,"Condition era record observed during anytime on or prior to cohort index within condition group:  31317-Dysphagia",201,31317,0
31317252,"Condition era record observed concurrent (overlapping) with cohort index within condition group:  31317-Dysphagia",202,31317,0
31602151,"Condition occurrence record observed during 365d on or prior to cohort index within condition group:  31602-Disorder of the larynx",101,31602,0
31602152,"Condition occurrence record observed during 30d on or prior to cohort index within condition group:  31602-Disorder of the larynx",102,31602,0
31602153,"Condition occurrence record of primary inpatient diagnosis observed during 180d on or prior to cohort index within condition group:  31602-Disorder of the larynx",103,31602,0
31602201,"Condition era record observed during anytime on or prior to cohort index:    31602-Disorder of the larynx",201,31602,0
31602251,"Condition era record observed during anytime on or prior to cohort index within condition group:  31602-Disorder of the larynx",201,31602,0
31602252,"Condition era record observed concurrent (overlapping) with cohort index within condition group:  31602-Disorder of the larynx",202,31602,0
31610101,"Condition occurrence record observed during 365d on or prior to cohort index:  31610-Disorder of esophagus",101,31610,0
31610102,"Condition occurrence record observed during 30d on or prior to cohort index:  31610-Disorder of esophagus",102,31610,0
31610151,"Condition occurrence record observed during 365d on or prior to cohort index within condition group:  31610-Disorder of esophagus",101,31610,0
31610152,"Condition occurrence record observed during 30d on or prior to cohort index within condition group:  31610-Disorder of esophagus",102,31610,0
31610153,"Condition occurrence record of primary inpatient diagnosis observed during 180d on or prior to cohort index within condition group:  31610-Disorder of esophagus",103,31610,0
31610201,"Condition era record observed during anytime on or prior to cohort index:    31610-Disorder of esophagus",201,31610,0
31610251,"Condition era record observed during anytime on or prior to cohort index within condition group:  31610-Disorder of esophagus",201,31610,0
31610252,"Condition era record observed concurrent (overlapping) with cohort index within condition group:  31610-Disorder of esophagus",202,31610,0
31821101,"Condition occurrence record observed during 365d on or prior to cohort index:  31821-Disorder of endocrine system",101,31821,0
31821151,"Condition occurrence record observed during 365d on or prior to cohort index within condition group:  31821-Disorder of endocrine system",101,31821,0
31821152,"Condition occurrence record observed during 30d on or prior to cohort index within condition group:  31821-Disorder of endocrine system",102,31821,0
31821153,"Condition occurrence record of primary inpatient diagnosis observed during 180d on or prior to cohort index within condition group:  31821-Disorder of endocrine system",103,31821,0
31821201,"Condition era record observed during anytime on or prior to cohort index:    31821-Disorder of endocrine system",201,31821,0
31821251,"Condition era record observed during anytime on or prior to cohort index within condition group:  31821-Disorder of endocrine system",201,31821,0
31821252,"Condition era record observed concurrent (overlapping) with cohort index within condition group:  31821-Disorder of endocrine system",202,31821,0
31967101,"Condition occurrence record observed during 365d on or prior to cohort index:  31967-Nausea",101,31967,0
31967102,"Condition occurrence record observed during 30d on or prior to cohort index:  31967-Nausea",102,31967,0
31967103,"Condition occurrence record of primary inpatient diagnosis observed during 180d on or prior to cohort index:  31967-Nausea",103,31967,0
31967151,"Condition occurrence record observed during 365d on or prior to cohort index within condition group:  31967-Nausea",101,31967,0
31967152,"Condition occurrence record observed during 30d on or prior to cohort index within condition group:  31967-Nausea",102,31967,0
31967153,"Condition occurrence record of primary inpatient diagnosis observed during 180d on or prior to cohort index within condition group:  31967-Nausea",103,31967,0
31967201,"Condition era record observed during anytime on or prior to cohort index:    31967-Nausea",201,31967,0
31967202,"Condition era record observed concurrent (overlapping) with cohort index:    31967-Nausea",202,31967,0
31967251,"Condition era record observed during anytime on or prior to cohort index within condition group:  31967-Nausea",201,31967,0
31967252,"Condition era record observed concurrent (overlapping) with cohort index within condition group:  31967-Nausea",202,31967,0
72404151,"Condition occurrence record observed during 365d on or prior to cohort index within condition group:  72404-Joint stiffness",101,72404,0
72404201,"Condition era record observed during anytime on or prior to cohort index:    72404-Joint stiffness",201,72404,0
